name;calories;fat;carbohydrate;protein
Hojaldre;550.12;38.5;7.4;44.2
Horchata;97.83;2.7;1.2;17.0
Huevo de codorniz, entero, crudo;153.01;11.1;13.1;0.4
Huevo de gallina fresco;148.95;11.1;12.5;0.0
Huevo de gallina, clara, cruda;44.77;0.1;10.5;0.3
Huevo de gallina, escalfado;146.17;10.6024;12.6;0.3
Huevo de gallina, frito;184.58;14.5783;13.4;0.3
Huevo de gallina, hervido, duro;144.86;10.5;12.5;0.3
Huevo de gallina, pasado por agua;143.64;10.3615;12.5;0.3
Huevo de gallina, revuelto, con mantequilla;227.95;20.7229;10.2;0.8
Huevo de gallina, yema, cruda;354.95;31.5;16.5;2.3
Huevo de gallina, yema, desecada;661.74;59.3;31.7;2.1
Huevo de pato, crudo;162.45;11.8;14.3;0.0
Huevo de pavo, entero, crudo;163.12;11.9;13.7;1.2
Infusión;0.0;0.0;0.0;0.0
Jalea real;264.91;0.0;0.2;65.0
Jamón asado;264.74;17.61;26.83;0.0
Jamón cocido, categoría s/e;113.48;3.0;21.0;0.4
Jamón cocido, enlatado;125.14;5.1;18.4;1.3
Jamón ibérico de bellota;333.25;22.2;33.2;0.5
Jamón ibérico de cebo;301.43;19.2;32.3;0.1
Jamón serrano;317.69;22.6;28.8;0.2
Jengibre;51.7;0.7;1.7;9.5
Judía blanca;240.87;1.6;21.1;34.7
Judía pinta;245.8;0.83;23.58;35.11
Judía verde, congelada, cruda;29.14;0.55;1.875;4.1
Judía verde, cruda;27.51;0.4;2.2;3.7
Judia verde, hervida;83.29;6.79;1.78;3.94
Judías blancas, cocidas;322.87;1.5;21.4;54.8
Judias verdes en conserva;12.33;0.1;1.188;1.63
Jurel, crudo;111.81;1.97;15.4;0.8
Kebab;303.54;7.9;8.8;16.7
Kefir;63.86;3.5;3.3;4.8
Ketchup;103.75;0.2;3.4;21.7
Kiwi;51.96;0.5;1.1;10.6
Lacón;213.42;10.8;19.12;9.9
Langosta;90.82;2.0;18.0;0.0
Langostino;111.9;0.8;24.3;1.5
Lasaña;137.31;7.9;6.3;10.3
Laurel, hoja;302.63;8.4;7.6;48.6
Leche condensada, entera, con azúcar;334.32;9.2455;8.5095;53.65
Leche de almendra;351.34;5.5;14.5;60.0
Leche de cabra;64.44;3.7037;3.4;4.4
Leche de coco;207.86;21.3;2.0;2.8
Leche de oveja;99.22;6.34921;5.6;5.0
Leche de vaca, desnatada, condensada, con azúcar;286.2;0.201;10.0;60.0
Leche de vaca, entera;65.13;3.8;3.06;4.7
Leche en polvo, semidesnatada;443.56;16.2963;29.8;43.9
Leche fermentada, bifidobacterium, entera, natural;62.57;3.4;3.6;4.4
Leche materna;68.75;4.03;1.15;7.0
Leche merengada;83.96;3.2;3.0;10.7
Leche, desnatada, pasteurizada;33.87;0.2;3.3;4.6
Leche, semidesnatada, pasteurizada;45.84;1.6;3.2;4.6
Lechuga;15.57;0.6;1.125;1.4
Lecitina de soja;501.2;53.0;0.0;8.0
Lengua de cerdo, cruda;156.09;10.3;16.0;0.0
Lengua de cordero, cruda;191.28;14.6;15.3;0.0
Lengua, de buey, cruda;217.95;16.1;14.9;3.7
Lengua, de ternera, cruda;135.11;7.1;17.8;0.0
Lenguado;78.54;1.3;16.5;0.0
Lenguado, al horno;73.47;0.957143;16.0;0.0
Lenguado, frito;92.18;2.2;17.9;0.0
Lenguado, plancha;134.8;7.97;15.36;0.47
Lenteja, en conserva;73.69;0.21;6.28;11.4
Lenteja, hervida;331.14;1.7;23.0;54.8
Lenteja, seca, cruda;308.86;1.17286;24.7674;48.6954
Licor apricot;247.51;0.0;0.21;30.0
Licor benedictine;258.84;0.0;0.0;33.0
Licor curaçao;315.27;0.0;0.0;30.0
Licor de café;343.12;0.29;0.0;46.8
Licor de crema 15-17% vol.;322.3;14.8;0.0;20.9
Licores de frutas;225.79;0.0;0.1;35.0
Liebre, entera, cruda;192.23;8.0;29.9;0.0
Lija, cruda;135.04;7.0;18.0;0.0
Lima, cruda;8.27;0.2;0.6;1.0
Limonada;11.52;0.2;0.5;1.9
Litchi, crudo;66.87;0.44;0.9;14.6
Lombarda;22.16;0.18;1.5;3.5
Lomo embuchado;321.2;20.7;34.0;0.0
Longaniza;344.77;27.5;25.0;0.0
Lubina;84.63;1.3;18.0;0.0
Lucio, al horno;95.06;0.871429;21.5;0.0
Macedonia de frutas, conserva en su jugo;106.12;0.1;0.9;25.0
Magdalena;384.99;22.4;6.1;39.9
Maíz, en mazorca, congelado, crudo;94.43;0.8;3.2;18.3
Maíz, en mazorca, crudo;390.07;0.92;8.4;85.6
Mandarina;39.82;0.0;0.8;9.0
Mandarina, congelada;41.71;0.2;0.63;9.2
Mango, crudo;58.65;0.2;0.6;13.4
Manteca;875.48;99.0;0.0;0.0
Mantequilla salada;730.02;82.0;0.7;0.5
Mantequilla, baja en calorías;500.67;55.1;3.3;0.0
Manzana;49.98;0.0;0.3;12.0
Margarina de maíz;714.77;80.0;0.9;0.9
Margarina, baja en calorías;361.94;40.0;1.62;0.4
Masa de hojaldre, cruda;407.97;29.35;4.85;31.6796
Mayonesa con aceite de girasol;697.39;75.6;1.3;5.8
Mayonesa, aceite de oliva;781.65;87.3807;2.1;0.0971
Mayonesa, aceite de soja;706.77;79.0032;1.3;0.7
Mayonesa, baja en calorías;296.44;28.1;1.0;10.8
Mejillon;60.68;1.9;10.8;0.0
Mejillón, en conserva, al natural;82.53;2.9;12.0;2.0
Mejillón, en escabeche;167.28;14.0;10.7;0.0
Mejillón, hervido;111.77;2.7;18.45;3.18182
Melocotón;39.01;0.0;0.6;9.0
Melocotón en almíbar;57.7;0.0;0.4;13.8
Melocotón, desecado;270.42;0.76;3.6;61.3
Melón;26.82;0.0;0.6;6.0
Membrillo, crudo;28.81;0.225;0.3;6.3
Menestra de verduras, congelada;44.65;0.5;3.3;6.6
Menta, fresca;43.43;0.73;3.8;5.3
Merluza fresca;64.39;1.8;11.93;0.0
